id,url,titulo,accion,archivo,intencion,estado
,https://serviciosonlineweb.com/blog/accesibilidad-web-normativa-eaa,Accesibilidad web y la nueva normativa europea (EAA 2025),Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/agencia-vs-freelancer-vs-diy,Agencia web vs freelancer vs hacerlo tú mismo: pros y contras,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/agente-ia-asesorias-despachos,Agente de IA para asesorías y despachos: filtrar consultas y liberar al equipo,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/agente-ia-clinicas,"Agente de IA para clínicas: citas, recordatorios y menos ausencias",Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/agente-ia-inmobiliarias,Agente de IA para inmobiliarias: captar y cualificar 24/7,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/agente-ia-peluquerias,Agente de IA para peluquerías y estética,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/agente-ia-restaurantes,Agente de IA para restaurantes: reservas atendidas 24/7,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/agente-ia-talleres-automovil,Agente de IA para talleres: cita previa y presupuestos sin perder llamadas,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/agente-ia-voz-vs-chatbot,Agente de IA por voz vs chatbot: ¿cuál necesita realmente tu negocio?,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/agentes-ia-n8n-pymes,Agentes de IA con n8n: la nueva revolución para pymes,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/automatizaciones-n8n-pymes-12-procesos,Automatizaciones con n8n para pymes: 12 procesos que puedes delegar hoy,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/automatizar-atencion-cliente-trato-humano,Automatizar la atención al cliente sin perder el trato humano,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/backlinks-locales-pymes,Backlinks para pymes: cómo conseguir enlaces locales de calidad,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/chatbot-vs-agente-voz-ia,Chatbot vs agente de voz con IA: cuál necesita tu negocio,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/checklist-antes-de-encargar-web,Qué necesitas preparar antes de encargar tu web (checklist),Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/checklist-seo-on-page,Checklist de SEO on-page: 15 puntos para revisar cada página,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/como-aparecer-en-google,Cómo aparecer en Google: guía completa para negocios en 2026,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/conseguir-resenas-google-seo,Cómo conseguir reseñas en Google (y por qué disparan tu SEO),Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/copywriting-web-que-convierte,Copywriting para tu web: los textos que convierten visitas en clientes,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
A07,https://serviciosonlineweb.com/blog/core-web-vitals-velocidad-ventas,Core Web Vitals: cómo medir una mejora sin confundirla con ventas,Conservar URL; sustituir cuerpo tras revisión,actualizaciones/07-core-web-vitals.md,Medir rendimiento y límites de atribución,Borrador local
,https://serviciosonlineweb.com/blog/core-web-vitals-velocidad-web-ventas,Core Web Vitals: cómo la velocidad de tu web afecta a tus ventas (datos 2026),Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/cuando-renovar-pagina-web,Cuándo renovar tu página web: 8 señales claras,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
A08,https://serviciosonlineweb.com/blog/cuanto-cuesta-agente-ia,"Cuánto cuesta un agente de IA: web, teléfono y alcance de la propuesta",Conservar URL; sustituir cuerpo tras revisión,actualizaciones/08-precio-ia.md,Distinguir agente web/voz y condiciones,Borrador local
